ts;externalTemperature;humidity;light;motion;temperature;vdd
1596579402663;19.7;55;0;3;21.5;3564
1596579703534;19.6;55;0;2;21.5;3561
1596580006389;19.6;56;0;3;21.5;3561
1596580304591;19.6;55;0;2;21.5;3564
1596580603911;19.5;55;0;3;21.5;3564
1596580904845;19.6;56;0;2;21.5;3564
1596581202315;19.5;56;0;3;21.5;3564
1596581502935;19.5;56;0;2;21.5;3564
1596581803606;19.6;56;0;3;21.5;3561
1596582104848;19.6;56;0;2;21.5;3564
1596582403588;19.5;56;0;3;21.5;3564
1596582705205;19.5;56;0;2;21.5;3561
1596583002984;19.6;56;0;3;21.5;3561
1596583304556;19.6;56;0;2;21.4;3564
1596583602657;19.5;56;0;3;21.5;3564
1596583903443;19.6;56;0;2;21.5;3564
1596584203423;19.6;56;0;3;21.5;3561
1596584504407;19.5;56;0;2;21.5;3561
1596584803783;19.6;56;0;3;21.4;3564
1596585103212;19.5;56;0;2;21.5;3561
1596585402195;19.6;56;0;3;21.5;3561
1596585703343;19.5;56;0;2;21.5;3564
1596586004416;19.5;56;0;3;21.4;3564
1596586303354;19.6;56;0;2;21.5;3561
1596586602755;19.6;56;0;3;21.4;3561
1596586902239;19.5;56;0;2;21.4;3561
1596587202389;19.7;56;0;3;21.5;3561
1596587512871;19.4;56;0;2;21.5;3561
1596587804100;19.5;56;0;3;21.4;3561
1596588102823;19.5;56;0;2;21.4;3561
1596588402373;19.5;56;0;3;21.4;3561
1596588703588;19.4;56;0;2;21.4;3564
1596589005429;19.6;56;0;3;21.4;3564
1596589304018;19.5;56;0;2;21.4;3564
1596589604734;19.5;56;0;3;21.4;3561
1596589902601;19.5;56;0;2;21.4;3564
1596590203329;19.6;56;0;3;21.4;3561
1596590504188;19.5;56;0;2;21.4;3561
1596590803779;19.4;56;0;3;21.4;3561
1596591101561;19.5;56;0;2;21.4;3564
1596591401402;19.5;56;0;3;21.4;3564
1596591702598;19.4;56;0;2;21.4;3561
1596592003052;19.6;55;0;3;21.4;3561
1596592305225;19.5;56;0;2;21.4;3564
1596592604147;19.4;56;0;3;21.4;3561
1596592902854;19.4;55;1;2;21.4;3564
1596593202340;19.5;56;1;3;21.4;3564
1596593502333;19.5;55;1;2;21.4;3561
1596593802504;19.6;55;1;3;21.4;3561
1596594101602;19.5;55;1;2;21.4;3564
1596594402509;19.5;55;1;3;21.4;3561
1596594703578;19.5;55;2;2;21.3;3561
1596595003266;19.5;55;2;3;21.4;3561
1596595304058;19.4;55;2;2;21.4;3564
1596595602364;19.4;55;2;3;21.4;3561
1596595902846;19.5;55;2;2;21.4;3561
1596596202531;19.4;55;3;3;21.4;3564
1596596501816;19.4;55;3;2;21.3;3561
1596596801216;19.4;55;4;3;21.4;3564
1596597102318;19.5;55;5;2;21.4;3561
1596597403531;19.5;55;5;3;21.4;3561
1596597702544;19.5;55;5;2;21.4;3561
1596598000975;19.5;55;6;3;21.3;3561
1596598301179;19.5;55;6;2;21.4;3561
1596598602388;19.5;55;6;3;21.4;3564
1596598901742;19.5;55;6;2;21.4;3561
1596599201717;19.6;55;6;3;21.4;3561
1596599502097;19.6;55;4;2;21.3;3561
1596599804075;19.5;55;4;3;21.4;3564
1596600103057;19.6;55;6;2;21.4;3561
1596600403336;19.6;55;5;3;21.4;3561
1596600702262;19.5;55;5;2;21.4;3564
1596601001784;19.7;55;5;3;21.4;3564
1596601303997;19.6;55;6;2;21.4;3561
1596601600568;19.6;55;6;3;21.4;3561
1596601902413;19.6;55;7;2;21.4;3564
1596602201205;19.7;55;6;3;21.4;3561
1596602501784;19.6;55;8;2;21.4;3561
1596602803995;19.6;55;9;3;21.4;3561
1596603102446;19.6;55;8;2;21.4;3564
1596603400833;19.7;55;9;3;21.4;3561
1596603701302;19.5;55;8;2;21.4;3564
1596604004596;19.6;55;8;3;21.4;3564
1596604302205;19.7;55;11;2;21.4;3564
1596604602547;19.7;55;12;3;21.4;3561
1596604900934;19.7;55;13;2;21.4;3564
1596605202005;19.9;55;12;3;21.4;3564
1596605500781;19.8;55;14;2;21.4;3559
1596605803320;19.7;55;13;3;21.4;3561
1596606101855;19.7;55;14;2;21.5;3561
1596606401814;19.8;55;12;3;21.5;3561
1596606701784;19.8;55;11;2;21.5;3561
1596607002721;19.8;55;17;3;21.5;3564
1596607301617;19.9;55;19;2;21.5;3564
1596607603540;19.8;55;22;3;21.5;3561
1596607902418;19.9;55;22;2;21.5;3561
1596608202255;20;55;22;3;21.5;3561
1596608512431;19.9;55;22;2;21.5;3564
1596608800531;20;55;20;3;21.5;3561
1596609101391;20;55;21;2;21.6;3564
1596609401925;19.9;55;20;3;21.6;3564
1596609700431;20.1;55;20;2;21.6;3564
1596610008220;20;55;22;3;21.5;3564
1596610300734;20.1;55;24;2;21.6;3564
1596610602229;20;55;24;3;21.6;3564
1596610900385;20.1;55;25;2;21.6;3564
1596611200450;20.1;55;25;3;21.6;3564
1596611500406;20.2;55;24;2;21.6;3564
1596611801340;20.2;55;26;3;21.6;3564
1596612103422;20.2;55;27;2;21.6;3564
1596612400511;20.3;55;25;3;21.6;3564
1596612701025;20.2;55;24;2;21.7;3564
1596613004507;20.3;55;23;3;21.7;3564
1596613301752;20.3;55;25;2;21.7;3564
1596613600632;20.3;55;22;3;21.7;3564
1596613902560;20.3;55;26;2;21.7;3564
1596614208427;20.4;55;28;3;21.7;3564
1596614501937;20.3;55;29;2;21.7;3564
1596614801640;20.5;55;31;3;21.7;3564
1596615101113;20.4;55;34;2;21.7;3561
1596615400621;20.5;55;37;3;21.8;3564
1596615700031;20.6;55;37;2;21.8;3564
1596616001963;20.6;55;36;3;21.8;3564
1596616301412;20.7;55;32;2;21.8;3564
1596616602827;20.8;55;37;3;21.8;3564
1596616901768;20.7;55;26;2;21.8;3564
1596617200984;20.7;54;37;3;21.8;3564
1596617501472;20.8;54;42;2;21.8;3564
1596617799834;20.8;54;32;3;21.9;3564
1596618099496;20.8;54;43;2;21.9;3564
1596618400787;20.8;54;22;3;21.9;3564
1596618700916;20.9;54;26;2;21.9;3564
1596619008356;20.8;54;20;3;21.9;3564
1596619299592;20.9;54;29;2;21.9;3564
1596619601566;20.8;54;20;3;21.9;3564
1596619901270;20.9;54;22;2;21.9;3564
1596620200737;20.8;54;31;3;21.9;3564
1596620500214;20.8;54;35;2;21.9;3564
1596620800845;20.9;54;29;3;22;3564
1596621099638;20.9;54;24;2;22;3564
1596621401494;20.9;54;24;3;21.9;3564
1596621699734;20.8;54;21;2;22;3564
1596622013066;21;54;19;3;22;3564
1596622300583;20.9;54;22;2;22;3564
1596622613110;20.9;54;24;3;22;3564
1596622899335;20.9;54;28;2;22;3564
1596623201524;20.9;54;24;3;22;3567
1596623500584;20.9;54;20;2;22;3564
1596623802678;20.9;54;25;3;22;3564
1596624100378;20.9;54;31;2;22;3564
1596624402564;21;54;32;3;22.1;3564
1596624700745;20.9;54;26;2;22;3567
1596625005367;20.9;54;28;3;22;3564
1596625300803;21;54;33;2;22.1;3564
1596625599553;21;54;25;3;22.1;3564
1596625901109;21;54;21;2;22;3564
1596626199216;21;54;29;3;22.1;3564
1596626500243;20.9;54;27;2;22.1;3564
1596626800256;20.9;54;31;3;22.1;3564
1596627100733;20.9;54;31;2;22.1;3564
1596627399783;21.1;54;27;3;22.1;3564
1596627699805;21.2;54;33;2;22.1;3564
1596628011003;21.2;54;29;3;22.1;3564
