ts;tr;tm
1591985452;23.0;17.5
1591986052;22.9;17.4
1591986352;22.9;17.3
1591986652;22.9;17.1
1591986952;22.9;17.0
1591987252;22.8;17.0
1591987552;22.9;16.9
1591987852;22.9;17.0
1591988151;22.9;16.8
1591988451;22.8;16.7
1591988751;22.8;16.6
1591989051;22.8;16.6
1591989351;22.8;16.5
1591989651;22.8;16.5
1591989951;22.8;16.4
1591990251;22.8;16.5
1591990551;22.8;16.5
1591990851;22.8;16.2
1591991151;22.8;15.9
1591991451;22.8;15.5
1591991751;22.8;14.9
1591992051;22.7;14.4
1591992351;22.7;14.5
1591992651;22.7;14.4
1591993251;22.7;14.3
1591993551;22.7;14.3
1591993851;22.7;14.3
1591994151;22.7;14.3
1591994451;22.6;14.3
1591994751;22.6;14.3
1591995051;22.6;14.3
1591995351;22.6;14.2
