ts;humidity;light;motion;temperature;vdd
1593731849470;59;1;0;22.9;3533
1593732150467;59;1;0;22.9;3533
1593732453646;59;1;0;22.9;3530
1593732749627;59;1;0;22.9;3530
1593733049544;59;1;0;22.9;3533
1593733350279;59;1;0;22.9;3530
1593733650595;59;1;0;22.9;3533
1593733950831;59;1;0;22.9;3530
1593734251659;59;1;0;22.9;3533
1593734550259;59;1;0;22.9;3530
1593734850975;59;1;0;22.8;3530
1593735159648;59;1;0;22.9;3530
1593735449859;59;1;0;22.9;3533
1593736051399;59;1;0;22.9;3530
1593736353439;59;1;0;22.9;3530
1593736649919;59;1;0;22.9;3530
1593736949639;59;1;0;22.9;3530
1593737250611;59;1;0;22.9;3530
1593737549633;59;1;0;22.8;3530
1593737849390;59;1;0;22.9;3530
1593738150357;59;1;0;22.9;3530
1593738450659;59;1;0;22.8;3530
1593738752695;59;1;0;22.9;3530
1593739050449;59;2;0;22.9;3533
1593739349311;59;2;0;22.9;3533
1593739649511;59;2;0;22.8;3530
1593739952768;59;3;0;22.8;3530
1593740249667;59;3;0;22.9;3533
1593740550879;59;3;0;22.8;3533
1593740849832;59;4;0;22.9;3530
1593741149551;59;4;0;22.9;3530
1593741449543;59;4;0;22.9;3530
1593741749223;59;5;0;22.8;3530
1593742050039;59;5;0;22.8;3533
1593742350591;59;6;0;22.9;3530
1593742651151;59;6;0;22.8;3530
1593742949224;59;7;0;22.9;3530
1593743252223;59;8;0;22.9;3530
1593743550103;59;8;0;22.8;3530
1593743850383;59;9;0;22.8;3530
1593744149611;59;9;0;22.9;3530
1593744449863;59;10;0;22.9;3533
1593744749147;59;10;0;22.8;3530
1593745050818;59;11;0;22.9;3530
1593745348847;59;11;0;22.9;3530
1593745650151;59;12;0;22.8;3533
1593745949783;59;12;0;22.9;3533
1593746250179;59;12;0;22.9;3530
1593746549059;59;13;0;22.9;3530
1593746849431;59;12;0;22.9;3530
1593747150031;59;13;0;22.9;3533
1593747449639;59;12;0;22.9;3533
1593747749375;59;13;0;22.9;3530
1593748350618;59;15;0;22.9;3530
1593748651910;59;15;0;22.9;3533
1593748950347;59;17;0;22.9;3533
1593749251664;59;16;0;22.9;3533
1593749548635;59;17;0;22.9;3530
1593749852582;59;17;0;22.9;3530
1593750150211;59;18;0;22.9;3530
1593750452340;59;20;0;22.9;3533
1593750749407;59;20;0;22.9;3530
1593751049433;59;19;0;22.9;3530
1593751356227;59;20;0;22.9;3533
1593751652286;59;20;0;22.9;3533
1593751949991;59;20;0;23;3530
1593752249690;59;20;0;23;3530
1593752549039;59;23;0;22.9;3533
1593752849915;59;25;0;23;3533
1593753149307;59;24;0;23;3530
1593753449176;59;31;0;23;3533
1593753750351;59;29;0;22.9;3533
1593754049851;59;20;0;23;3530
1593754349459;59;26;0;23;3530
1593754648995;59;24;0;23;3535
1593754948899;59;25;0;23;3533
1593755250124;59;25;0;23;3530
1593755549355;59;29;0;23;3530
1593755849208;59;32;0;23;3530
1593756148431;59;25;0;23;3533
1593756449254;59;34;0;23;3530
1593756750419;59;24;0;23.1;3533
1593757049261;59;29;0;23.1;3533
1593757349699;59;29;0;23;3533
1593757648199;59;30;0;23.1;3530
1593757949355;59;24;0;23.1;3535
1593758249199;59;21;0;23.1;3533
1593758550391;59;34;0;23.1;3533
1593758851014;59;18;0;23.1;3530
1593759148051;59;24;0;23.1;3533
1593759448011;59;20;0;23.1;3533
1593759749833;59;23;0;23.1;3533
1593760048419;59;22;0;23.2;3533
1593760350367;59;27;0;23.1;3533
1593760648811;59;46;0;23.1;3533
1593760948791;59;52;0;23.1;3535
1593761248143;59;38;0;23.1;3530
1593761547947;59;33;0;23.2;3533
1593761848291;59;36;0;23.2;3533
1593762149223;60;38;0;23.2;3533
1593762449383;60;38;0;23.2;3533
1593762749459;60;44;0;23.2;3535
1593763049250;60;57;0;23.2;3535
1593763349108;61;41;0;23.2;3533
1593763649483;61;53;0;23.2;3535
1593763948275;61;42;0;23.3;3533
1593764248067;61;42;0;23.3;3535
1593764549439;61;40;0;23.3;3533
1593764848559;61;36;0;23.2;3533
1593765147155;61;38;0;23.3;3535
1593765449039;61;35;0;23.3;3535
1593765750020;61;46;0;23.3;3535
1593766048215;61;55;0;23.3;3535
1593766352776;62;59;0;23.3;3530
1593766649631;62;55;0;23.3;3535
1593766951768;62;50;0;23.3;3535
1593767248559;62;48;0;23.3;3533
1593767548760;62;49;0;23.4;3535
1593767849563;62;58;0;23.4;3535
1593768150090;62;70;0;23.4;3535
1593768448047;62;64;0;23.4;3533
1593768748791;62;65;0;23.4;3535
1593769049143;62;56;0;23.4;3535
1593769347703;62;56;0;23.4;3535
1593769647399;62;62;0;23.4;3533
1593769950297;62;45;0;23.4;3535
1593770249631;62;48;0;23.4;3535
1593770548060;62;47;0;23.4;3535
1593770849227;62;46;0;23.4;3535
1593771154515;62;42;0;23.5;3535
1593771447899;62;48;0;23.5;3533
1593771761836;62;52;0;23.5;3533
1593772051663;62;50;0;23.5;3535
1593772349143;62;52;0;23.5;3535
1593772648365;62;55;0;23.5;3535
1593772947875;62;55;0;23.5;3535
1593773248652;62;55;0;23.5;3535
1593773549095;62;60;0;23.5;3535
1593773848771;62;54;0;23.5;3535
